instance,N,edges,set size,best-known,%_of_best,wall_time_s,hardware,solver
frb50-23-3,1150,81068,47,50,94.0,1.45,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
frb53-24-1,1272,94227,48,52,92.31,1.45,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
frb59-26-2,1534,126163,53,58,91.38,1.49,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
frb100-40,4000,572774,88,94,93.62,1.41,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
gen200_p0-9_44,200,1990,40,44,90.91,1.89,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
hamming6-2,64,1824,2,2,100.0,1.43,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
hamming6-4,64,704,12,12,100.0,1.44,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
hamming10-4,1024,89600,38,40,95.0,1.44,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
ibm32,32,90,13,13,100.0,1.81,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
insecta-ant-colony1-day38,56,1134,6,6,100.0,1.49,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
insecta-ant-colony3-day09,160,8883,9,9,100.0,1.43,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
johnson8-2-4,28,210,7,7,100.0,1.51,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
johnson8-4-4,70,1855,5,5,100.0,1.46,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
johnson16-2-4,120,5460,15,15,100.0,1.43,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
karate,34,78,20,20,100.0,3.27,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
keller4,171,5100,11,11,100.0,1.44,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
keller6,3361,1026582,50,59,84.75,1.45,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
mammalia-kangaroo-interactions,17,91,4,4,100.0,1.58,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
p_hat1500-1,1500,839327,11,12,91.67,1.48,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
p_hat1500-3,1500,277006,94,94,100.0,1.5,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sloane_1dc_64,64,543,10,10,100.0,1.65,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sloane_1dc_128,128,1471,16,16,100.0,1.5,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sloane_1zc_128,128,1120,18,18,100.0,1.45,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sloane_2dc_128,128,5173,5,5,100.0,1.44,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
socfb-haverford76,1446,59589,281,282,99.65,2.77,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
socfb-trinity100,2613,111996,496,499,99.4,6.52,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sorrell4,2048,504451,22,24,91.67,1.52,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
sorrell7,2048,39424,182,198,91.92,1.4,NVIDIA A100 80GB + AMD EPYC (CPU),Quicopt v0.1
